instance timestamp,query,domain size,run id,itr exponent,itr start,itr end,itr num,tuples added,bag semantics,max bag size,processor,number_of_witnesses,lp_results: witness_computation_time,lp_results: number_of_witnesses,lp_results: number_of_tuples,lp_results: Solve Time,lp_results: Solver Solution Time,lp_results: GDP,lp_results: error,ilp_results: witness_computation_time,ilp_results: number_of_witnesses,ilp_results: number_of_tuples,ilp_results: Solve Time,ilp_results: Solver Solution Time,ilp_results: GDP,ilp_results: error
1730393891.263638,hc-sj-ucq,1000,1730393472.85962,3.3547094188376754,0.5,6,500,2263,False,0,x86_64,9,0.43331995978951454,2266,2263,3.315040495246649,3.3149075508117676,-2260.0,,0.46093222312629223,2266,2263,2.696227390319109,2.696068525314331,-2260.0,
1730393899.255244,hc-sj-ucq,1000,1730393472.85962,3.3657314629258517,0.5,6,500,2321,False,0,x86_64,10,0.4425780866295099,2324,2321,4.16999701038003,4.1698338985443115,-2318.0,,0.4494516160339117,2324,2321,1.7892396319657564,1.7891108989715576,-2318.0,
1730393907.137876,hc-sj-ucq,1000,1730393472.85962,3.3767535070140284,0.5,6,500,2380,False,0,x86_64,10,0.45385489240288734,2383,2380,3.288122523576021,3.2879621982574463,-2377.0,,0.4744664281606674,2383,2380,2.6316431518644094,2.63150954246521,-2377.0,
1730393915.07849,hc-sj-ucq,1000,1730393472.85962,3.3877755511022047,0.5,6,500,2442,False,0,x86_64,10,0.44792241230607033,2445,2442,1.5974730532616377,1.5973143577575684,-2439.0,,0.47208040580153465,2445,2442,-1,-1,-1,PuLP: Error while trying to execute gurobi_cl
1730393920.098323,hc-sj-ucq,1000,1730393472.85962,3.398797595190381,0.5,6,500,2504,False,0,x86_64,11,0.5085242483764887,2507,2504,1.34935481287539,1.3492302894592285,-2501.0,,0.48765917494893074,2507,2504,1.1731360256671906,1.1729786396026611,-2501.0,
1730393924.605967,hc-sj-ucq,1000,1730393472.85962,3.4098196392785574,0.5,6,500,2569,False,0,x86_64,12,0.4807038623839617,2572,2569,1.412012604996562,1.4118680953979492,-2566.0,,0.5068146083503962,2572,2569,2.7633091658353806,2.7631378173828125,-2566.0,
1730393930.653171,hc-sj-ucq,1000,1730393472.85962,3.4208416833667337,0.5,6,500,2635,False,0,x86_64,12,0.4792435895651579,2638,2635,1.0828138384968042,1.082693338394165,-2632.0,,0.49342666380107403,2638,2635,2.165464671328664,2.165313243865967,-2632.0,
1730393935.78814,hc-sj-ucq,1000,1730393472.85962,3.43186372745491,0.5,6,500,2703,False,0,x86_64,12,0.49333406798541546,2706,2703,2.627411115914583,2.6272847652435303,-2700.0,,0.5117440335452557,2706,2703,1.106455085799098,1.1062984466552734,-2700.0,
1730393941.581858,hc-sj-ucq,1000,1730393472.85962,3.4428857715430863,0.5,6,500,2772,False,0,x86_64,13,0.5017746388912201,2775,2772,0.9668091312050819,0.9666876792907715,-2769.0,,0.5252657048404217,2775,2772,1.9232222903519869,1.9230866432189941,-2769.0,
1730393946.372443,hc-sj-ucq,1000,1730393472.85962,3.4539078156312626,0.5,6,500,2843,False,0,x86_64,16,0.5145082846283913,2847,2843,4.184319477528334,4.184198617935181,-2839.0,,0.5329795200377703,2847,2843,2.245071792975068,2.2449231147766113,-2839.0,
1730393954.833413,hc-sj-ucq,1000,1730393472.85962,3.464929859719439,0.5,6,500,2916,False,0,x86_64,17,0.521183617413044,2920,2916,1.725212311372161,1.7250933647155762,-2912.0,,0.5464274603873491,2920,2916,1.878543447703123,1.8783900737762451,-2912.0,
1730393960.445542,hc-sj-ucq,1000,1730393472.85962,3.475951903807615,0.5,6,500,2991,False,0,x86_64,17,0.5389441642910242,2995,2991,4.403077872470021,4.402954578399658,-2987.0,,0.5585198570042849,2995,2991,1.5092869214713573,1.5091276168823242,-2987.0,
1730393968.357168,hc-sj-ucq,1000,1730393472.85962,3.486973947895792,0.5,6,500,3068,False,0,x86_64,17,0.5486139599233866,3072,3068,2.313118638470769,2.3130075931549072,-3064.0,,0.5618130397051573,3072,3068,1.4521355982869864,1.4519999027252197,-3064.0,
1730393974.16633,hc-sj-ucq,1000,1730393472.85962,3.4979959919839683,0.5,6,500,3147,False,0,x86_64,18,0.5740630142390728,3151,3147,1.292213900014758,1.2920799255371094,-3143.0,,0.5904307719320059,3151,3147,1.2519207950681448,1.251755714416504,-3143.0,
1730393979.030083,hc-sj-ucq,1000,1730393472.85962,3.5090180360721446,0.5,6,500,3228,False,0,x86_64,18,0.62234066426754,3232,3228,0.8585913963615894,0.8584628105163574,-3224.0,,0.6036158315837383,3232,3228,1.2109464854002,1.2107927799224854,-3224.0,
1730393983.22687,hc-sj-ucq,1000,1730393472.85962,3.520040080160321,0.5,6,500,3311,False,0,x86_64,18,0.5979267507791519,3315,3311,1.4437576793134212,1.4436273574829102,-3307.0,,0.6217595525085926,3315,3311,-1,-1,-1,PuLP: Error while trying to execute gurobi_cl
1730393987.469065,hc-sj-ucq,1000,1730393472.85962,3.531062124248497,0.5,6,500,3396,False,0,x86_64,18,0.6013462636619806,3400,3396,2.2433760706335306,2.243220090866089,-3392.0,,0.6130698472261429,3400,3396,1.8088695853948593,1.8087494373321533,-3392.0,
1730393993.559328,hc-sj-ucq,1000,1730393472.85962,3.5420841683366735,0.5,6,500,3484,False,0,x86_64,18,0.6133845280855894,3488,3484,2.476667694747448,2.476536989212036,-3480.0,,0.6302855610847473,3488,3484,2.094013672322035,2.093869924545288,-3480.0,
1730394000.333905,hc-sj-ucq,1000,1730393472.85962,3.55310621242485,0.5,6,500,3573,False,0,x86_64,18,0.6380251403898001,3577,3573,2.720139244571328,2.7200286388397217,-3569.0,,0.640648266300559,3577,3573,4.921786529943347,4.921655654907227,-3569.0,
1730394010.431932,hc-sj-ucq,1000,1730393472.85962,3.564128256513026,0.5,6,500,3665,False,0,x86_64,18,0.6791169121861458,3669,3665,4.6382150910794735,4.638089179992676,-3661.0,,0.6717006005346775,3669,3665,1.9668775722384453,1.966747760772705,-3661.0,
1730394020.00097,hc-sj-ucq,1000,1730393472.85962,3.5751503006012024,0.5,6,500,3759,False,0,x86_64,19,0.6572718061506748,3763,3759,1.5905362032353878,1.5903866291046143,-3755.0,,0.7205704413354397,3763,3759,2.254037892445922,2.2539029121398926,-3755.0,
1730394026.622932,hc-sj-ucq,1000,1730393472.85962,3.5861723446893787,0.5,6,500,3856,False,0,x86_64,20,0.6738770194351673,3860,3856,2.725816447287798,2.725695848464966,-3852.0,,0.6831447891891003,3860,3856,1.6813833937048912,1.6812467575073242,-3852.0,
1730394033.550152,hc-sj-ucq,1000,1730393472.85962,3.5971943887775555,0.5,6,500,3955,False,0,x86_64,21,0.6869175881147385,3959,3955,0.9315240569412708,0.9314117431640625,-3951.0,,0.7149388529360294,3959,3955,1.6125222314149141,1.6123902797698975,-3951.0,
1730394038.44802,hc-sj-ucq,1000,1730393472.85962,3.608216432865732,0.5,6,500,4057,False,0,x86_64,21,0.7092630714178085,4061,4057,1.3019921146333218,1.3018543720245361,-4053.0,,0.7276029027998447,4061,4057,1.1779006589204073,1.177736520767212,-4053.0,
1730394043.443131,hc-sj-ucq,1000,1730393472.85962,3.619238476953908,0.5,6,500,4161,False,0,x86_64,21,0.7584550138562918,4165,4161,0.989440431818366,0.9893150329589844,-4157.0,,0.7334050554782152,4165,4161,1.6917761899530888,1.6916463375091553,-4157.0,
1730394048.628211,hc-sj-ucq,1000,1730393472.85962,3.6302605210420844,0.5,6,500,4268,False,0,x86_64,23,0.7253457475453615,4273,4268,1.0301855467259884,1.0300724506378174,-4263.0,,0.752698777243495,4273,4268,0.8396399971097708,0.8395004272460938,-4263.0,
