OP_CARRIER,ORIGIN,DEST,COST,IS_POPULAR
AA,IAH,CLT,1,0
AA,MHT,PHL,1,0
AA,PHL,MHT,1,0
AA,LAS,PHX,1,0
AA,MIA,IAH,1,0
AA,CLT,SJU,1,0
AA,DFW,MCI,1,0
AA,SFO,CLT,1,0
AA,IAH,MIA,1,0
AA,PHL,DFW,1,0
AA,DFW,DCA,1,0
AA,PHL,TPA,1,0
AA,TPA,PHL,1,0
AA,EWR,CLT,1,0
AA,BNA,CLT,1,0
AA,ATL,LGA,1,0
AA,PHL,FLL,1,0
AA,PHL,RSW,1,0
AA,BOS,ORD,1,0
AA,SAN,PHL,1,0
AA,SJU,PHL,1,0
AA,MCO,LAX,1,0
AA,DFW,OAK,1,0
AA,OAK,DFW,1,0
AA,BUF,CLT,1,0
AA,CLT,MCO,1,0
AA,CLT,TUS,1,0
AA,CLT,ALB,1,0
AA,ALB,CLT,1,0
AA,PHL,ATL,1,0
AA,CLT,LGA,1,0
AA,PWM,PHL,1,0
AA,CLT,SFO,1,0
AA,MIA,EGE,1,0
AA,MIA,DCA,1,0
AA,JFK,LAX,1,0
AA,LAX,JFK,1,0
AA,DFW,HNL,1,0
AA,OGG,DFW,1,0
AA,DFW,OGG,1,0
AA,HNL,DFW,1,0
AA,OGG,LAX,1,0
AA,SFO,JFK,1,0
AA,ORD,RDU,1,0
AA,JFK,LAS,1,0
AA,LAX,HNL,1,0
AA,DFW,SAT,1,0
AA,SAT,DFW,1,0
AA,ORD,JFK,1,0
AA,LAS,PHL,1,0
AA,KOA,LAX,1,0
AA,LAX,KOA,1,0
AA,MIA,PHX,1,0
AA,LAS,JFK,1,0
AA,HNL,ORD,1,0
AA,ORD,HNL,1,0
AA,PHL,LAS,1,0
AA,BWI,DFW,1,0
AA,ORD,BOS,1,0
AA,MSP,ORD,1,0
AA,ORD,MSP,1,0
AA,MIA,ORD,1,0
AA,SAN,ORD,1,0
AA,HNL,LAX,1,0
AA,BDL,MIA,1,0
AA,LAX,EGE,1,0
AA,EGE,LAX,1,0
AA,PHX,STL,1,0
AA,DFW,JFK,1,0
AA,MSY,MIA,1,0
AA,LAX,OGG,1,0
AA,DCA,LAX,1,0
AA,LAS,ORD,1,0
AA,SJC,DFW,1,0
AA,PBI,ORD,1,0
AA,JFK,SFO,1,0
AA,FLL,CLT,1,0
AA,IND,DFW,1,0
AA,DFW,SAV,1,0
AA,DFW,IAD,1,0
AA,IAD,DFW,1,0
AA,BOS,JFK,1,0
AA,DFW,PDX,1,0
AA,LAX,SAT,1,0
AA,PHX,BOI,1,0
AA,BOS,LAX,1,0
AA,ORD,DCA,1,0
AA,ORD,DTW,1,0
AA,DFW,KOA,1,0
AA,KOA,DFW,1,0
AA,LAX,RDU,1,0
AA,RDU,LAX,1,0
AA,JAC,ORD,1,0
AA,ORD,LAX,1,0
AA,IAD,LAX,1,0
AA,LAX,ORD,1,0
AA,MIA,CLT,1,0
AA,LAX,LIH,1,0
AA,LIH,LAX,1,0
AA,DFW,TUL,1,0
AA,JFK,ORD,1,0
AA,SJU,MIA,1,0
AA,PHX,MIA,1,0
AA,DFW,EWR,1,0
AA,ORD,JAX,1,0
AA,LAX,IAD,1,0
AA,DFW,MSP,1,0
AA,MIA,SEA,1,0
AA,SLC,ORD,1,0
AA,JAX,ORD,1,0
AA,DFW,LGA,1,0
AA,MIA,LGA,1,0
AA,MIA,SJU,1,0
AA,ORF,DFW,1,0
AA,FLL,ORD,1,0
AA,MIA,EWR,1,0
AA,DCA,DFW,1,0
AA,MIA,BUF,1,0
AA,MIA,MSY,1,0
AA,ORD,PIT,1,0
AA,PIT,ORD,1,0
AA,AUS,ORD,1,0
AA,ORD,AUS,1,0
AA,SFO,ORD,1,0
AA,DFW,RDU,1,0
AA,DFW,SNA,1,0
AA,STL,CLT,1,0
AA,AUS,LAX,1,0
AA,DFW,OMA,1,0
AA,OMA,DFW,1,0
AA,AUS,MIA,1,0
AA,MIA,AUS,1,0
AA,JFK,DFW,1,0
AA,JFK,BOS,1,0
AA,PHX,JFK,1,0
AA,RSW,DFW,1,0
AA,MIA,STX,1,0
AA,STX,MIA,1,0
AA,SAT,LAX,1,0
AA,LAX,AUS,1,0
AA,DFW,PSP,1,0
AA,ORD,SJC,1,0
AA,SJC,ORD,1,0
AA,COS,DFW,1,0
AA,DFW,COS,1,0
AA,SJU,ORD,1,0
AA,CLT,EWR,1,0
AA,EWR,PHX,1,0
AA,CHS,DFW,1,0
AA,BOI,PHX,1,0
AA,BOS,MIA,1,0
AA,RNO,DFW,1,0
AA,JAC,DFW,1,0
AA,LAS,MIA,1,0
AA,MIA,LAS,1,0
AA,ICT,DFW,1,0
AA,EWR,DFW,1,0
AA,MIA,STT,1,0
AA,STT,MIA,1,0
AA,PDX,PHX,1,0
AA,PHX,BOS,1,0
AA,ATL,LAX,1,0
AA,ONT,DFW,1,0
AA,DFW,CHS,1,0
AA,MCO,JFK,1,0
AA,ELP,DFW,1,0
AA,ABQ,ORD,1,0
AA,TUL,CLT,1,0
AA,PHX,PDX,1,0
AA,PHX,EWR,1,0
AA,ORD,SMF,1,0
AA,ORD,PDX,1,0
AA,PDX,ORD,1,0
AA,JFK,SEA,1,0
AA,DFW,GRR,1,0
AA,GRR,DFW,1,0
AA,ORD,TPA,1,0
AA,TPA,ORD,1,0
AA,MIA,SAT,1,0
AA,ORD,SFO,1,0
AA,SEA,MIA,1,0
AA,DCA,PHL,1,0
AA,DFW,CAE,1,0
AA,CAE,DFW,1,0
AA,LAX,SMF,1,0
AA,SMF,LAX,1,0
AA,CMH,LAX,1,0
